t,vx,vy,s,ds
83,0.23158940799611208,0.19949663830889133,-1.8034456880003333e-05,-2.0920539861273323e-06
84,0.22927351391615095,0.1759067055235987,-2.1334719521771092e-05,-3.300262641767759e-06
85,0.22698077877698944,0.15278857138637222,-2.7722509825890794e-05,-6.3877903041197015e-06
86,0.22471097098921955,0.1301327999134644,-5.084443279404419e-05,-2.3121922968153397e-05
87,0.22246386127932732,0.10793014376319883,-0.9999999981698721,-0.999949153737078
88,0.22023922266653406,0.0273715411031579,-0.9999999975655299,6.043421318935316e-10
89,0.21803683046270012,-0.05157588940749958,-0.9623661331005294,0.0376338644650005
90,0.21669309557052596,-0.12368170492326734,-0.7762384581175482,0.18612767498298122
91,0.2208946677486437,-0.16923314539565618,-0.6274640782863753,0.14877437983117292
92,0.2301842634909942,-0.19595159311589572,-0.524336744296102,0.1031273339902733
93,0.24289940758152656,-0.21128138772319274,-0.46255099292791196,0.061785751368190034
94,0.2575676864179126,-0.2204311398094017,-0.4305795655851916,0.03197142734272035
95,0.27325012028978735,-0.22644209159744427,-0.41666395710227566,0.013915608482915953
96,0.28943049223189965,-0.23091941252801268,-0.4124313846754481,0.004232572426827563
97,0.3058448749604678,-0.2346654941894611,-0.41300744918873394,-0.0005760645132858455
98,0.32236300105778926,-0.23806996812192124,-0.4158554683830274,-0.0028480191942934496
99,0.3389215471703031,-0.24131901855621218,-0.419731741210827,-0.0038762728277996206
100,0.35548979095139116,-0.24450074729473095,-0.42404553149946755,-0.00431379028864054
101,0.3720526507893355,-0.2476565559436397,-0.42852145072877257,-0.004475919229305014
102,0.38860248462268593,-0.2508057847253826,-0.43303297799884843,-0.004511527270075866
103,0.40513517071025795,-0.2539574111960099,-0.4375229798580036,-0.004490001859155157
104,0.4216482487084592,-0.2571155681578025,-0.44196638995036003,-0.004443410092356437
105,0.43814004284748775,-0.2602821329100897,-0.446352851358386,-0.0043864614080259545
106,0.4546092502639811,-0.26345793679143026,-0.45067869560413976,-0.004325844245753774
107,0.4710547485350733,-0.266643327819338,-0.4549432558352687,-0.004264560231128922
108,0.4874755060470792,-0.26983843132759183,-0.45914718115165293,-0.004203925316384249
109,0.5038705404022327,-0.27304327020242486,-0.4632916706679729,-0.00414448951631996
110,0.5202388991718829,-0.27625782011599515,-0.4673781284442776,-0.0040864577763047305
111,0.5365796510012142,-0.2794820347903895,-0.47140801011734484,-0.004029881673067226
112,0.5528918814887575,-0.2827158575026981,-0.4753827563861077,-0.003974746268762874
113,0.5691746912589137,-0.28595922630062093,-0.4793037655815959,-0.0039210091954881565
114,0.5854271950373813,-0.2892120763557125,-0.48317238365315573,-0.0038686180715598595
115,0.6016485211832906,-0.29247434101983844,-0.4869899017912747,-0.0038175181381189804
116,0.6178378114284891,-0.29574595229686257,-0.49075755729964904,-0.0037676555083743235
117,0.6339942207104785,-0.2990268410519161,-0.4944765357644758,-0.003718978464826772
118,0.6501169170476148,-0.30231693710352525,-0.4981479736628166,-0.0036714378983407903
119,0.6662050814334235,-0.3056161692637444,-0.5017729610411368,-0.003624987378320177
120,0.6822579077396447,-0.3089244653553843,-0.5053525441116726,-0.0035795830705358522
121,0.6982746026233737,-0.3122417522192498,-0.5088877277096043,-0.0035351835979317014
122,0.7142543854362369,-0.31556795571709934,-0.512379477594953,-0.003491749885348616
123,0.7301964881346918,-0.3189030007328366,-0.5158287226003311,-0.003449245005378132
124,0.7461001551910476,-0.3222468111730338,-0.519236356632405,-0.003407634032073892
125,0.7619646435050242,-0.32559930996726943,-0.5226032405370254,-0.003366883904620477
126,0.7777892223157735,-0.32896041906848683,-0.5259302038383632,-0.0033269633013377486
127,0.7935731731143216,-0.3323300594534633,-0.5292180463620846,-0.003287842523721385
128,0.8093157895564131,-0.3357081511234402,-0.5324675397514707,-0.003249493389386071
129,0.8250163773757491,-0.3390946131049181,-0.5356794288852028,-0.00321188913373216
130,0.840674254297607,-0.3424893634506363,-0.5388544332043927,-0.0031750043191899335
131,0.8562887499528382,-0.3458923192407462,-0.5419932479557534,-0.0031388147513606857
132,0.8718592057922369,-0.3493033965841696,-0.5450965453574618,-0.003103297401708338
133,0.8873849750012762,-0.35272251062015453,-0.5481649756934656,-0.0030684303360037912
134,0.902865422415203,-0.3561495755200317,-0.5511991683414598,-0.003034192647994205
135,0.9182999244344904,-0.3595845044891649,-0.5541997327395723,-0.003000564398112582
136,0.933687868940637,-0.3630272097691132,-0.5571672592959753,-0.0029675265564029774
137,0.9490286552123133,-0.3664776026399928,-0.5601023202456149,-0.0029350609496395785
138,0.9643216938418451,-0.36993559342304805,-0.5630054704578011,-0.002903150212186234
139,0.9795664066520312,-0.3734010914834368,-0.5658772481979335,-0.002871777740132364
140,0.9947622266132904,-0.3768740052332232,-0.5687181758466631,-0.002840927648729563
141,1.0099085977611302,-0.3803542421345883,-0.5715287605793296,-0.002810584732666488
142,1.0250049751139305,-0.38384170870326306,-0.5743094950081827,-0.002780734428853182
143,1.040050824591047,-0.3873363105121708,-0.5770608577901626,-0.002751362781979849
144,1.055045622931211,-0.39083795219530376,-0.5797833142020951,-0.0027224564119324723
145,1.0699888576112393,-0.39434653745181153,-0.5824773166858103,-0.0026940024837152077
146,1.084880026765034,-0.39786196905032806,-0.5851433053647145,-0.0026659886789042186
147,1.0997186391028775,-0.4013841488335156,-0.5877817085339642,-0.002638403169249681
148,1.1145042138310086,-0.40491297772284784,-0.5903929431255757,-0.0026112345916115
149,1.1292362805714835,-0.40844835572361615,-0.5929774151503119,-0.0025844720247362174
150,1.1439143792823054,-0.411990181930179,-0.5955355201174862,-0.002558104967174346
151,1.1585380601778301,-0.4155383545314393,-0.5980676434342066,-0.0025321233167203694
152,1.1731068836494312,-0.41909277081656154,-0.6005741607851988,-0.0025065173509921657
153,1.1876204201864267,-0.42265332718092724,-0.6030554384943978,-0.002481277709199037
154,1.2020782502972593,-0.4262199191323321,-0.6055118338692927,-0.0024563953748949485
155,1.2164799644309234,-0.42979244129742106,-0.6079436955291272,-0.0024318616598344445
156,1.2308251628986417,-0.4333707874283691,-0.610351363717797,-0.002407668188669776
157,1.2451134557957722,-0.43695485040980525,-0.6127351706023066,-0.002383806884509676
158,1.259344462923958,-0.4405445222659783,-0.6150954405577107,-0.0023602699554040596
159,1.2735178137134995,-0.4441396941681756,-0.6174324904390869,-0.002337049881376174
160,1.2876331471459521,-0.4477402564423835,-0.6197466298414239,-0.0023141394023370454
161,1.3016901116769461,-0.451346098577196,-0.6220381613480215,-0.002291531506597555
162,1.3156883651592184,-0.45495710923197535,-0.6243073807679548,-0.0022692194199332993
163,1.3296275747658541,-0.4585731762452558,-0.626554577363359,-0.0022471965954041773
164,1.343507416913735,-0.46219418664340656,-0.6287800340668157,-0.002225456703456752
165,1.3573275771871867,-0.46582002664953664,-0.6309840276896009,-0.0022039936227852275
166,1.3710877502618228,-0.4694505816926544,-0.6331668291210916,-0.002182801431490633
167,1.3847876398285848,-0.47308573641707347,-0.6353287035199955,-0.002161874398903918
168,1.3984269585179576,-0.4767253746920851,-0.6374699104973748,-0.0021412069773792952
169,1.4120054278243865,-0.48036937962185344,-0.63959070429259,-0.0021207937952152367
170,1.425522778030855,-0.48401763355559313,-0.6416913339417102,-0.002100629649120167
